
book name,synopsis
失控,"《失控》，全名为《失控：机器、社会与经济的新生物学》（OutofControl:TheNewBiologyofMachines,SocialSystems,andtheEconomicWorld）。2006年，《长尾》作者克里斯·安德森在亚马逊网站上这样评价该书：“这可能是90年代最重要的一本书”，并且是“少有的一年比一年卖得好的书”。“尽管书中的一些例子在十几年后可能有些过时，但（它们所表达的）信息却越来越成为真知灼见”。“在那时人们还无法想象博客和维基等大众智慧的突起，但凯利却分毫不差地预见到了。这可能是过去十年来最聪明的一本书。”这是一部思考人类社会（或更一般意义上的复杂系统）进化的“大部头”著作，对于那些不惧于“头脑体操”的读者来说，必然会开卷有益。《失控》成书于1994年，作者是《连线》杂志的创始主编凯文·凯利。这本书所记述的，是他对当时科技、社会和经济最前沿的一次漫游，以及借此所窥得的未来图景。书中提到并且今天正在兴起或大热的概念包括：大众智慧、云计算、物联网、虚拟现实、敏捷开发、协作、双赢、共生、共同进化、网络社区、网络经济，等等。说它是一本“预言式”的书并不为过。其中必定还隐藏着我们尚未印证或窥破的对未来的“预言”。"
浪潮之巅,近一百多年来，总有一些公司很幸运地、有意识或无意识地站在技术革命的浪尖之上。在这十几年间，它们代表着科技的浪潮，直到下一波浪潮的来临。从一百年前算起，AT&am;T公司、IBM公司、苹果公司、英特尔公司、微软公司、思科公司、雅虎公司和Google公司都先后被幸运地推到了浪尖。虽然，它们来自不同的领域，中间有些已经衰落或正在衰落，但是它们都极度辉煌过。本书系统地介绍了这些公司成功的本质原因及科技工业一百多年的发展。在极度商业化的今天，科技的进步和商机是分不开的。因此，本书也系统地介绍了影响到科技浪潮的风险投资公司，诸如KPCB和红杉资本，以及百年来为科技捧场的投资银行，例如高盛公司，等等。在这些公司兴衰的背后，有着它必然的规律。本书不仅讲述科技工业的历史，更重在揭示它的规律性。
智能时代,大数据和机器智能的出现，对我们的技术发展、商业和社会都会产生重大的影响。作者吴军在《智能时代：大数据与智能革命重新定义未来》中指出，首先，我们在过去认为非常难以解决的问题，会因为大数据和机器智能的使用而迎刃而解，比如解决癌症个性化治疗的难题。同时，大数据和机器智能还会彻底改变未来的商业模式，很多传统的行业都将采用智能技术实现升级换代，同时改变原有的商业模式。大数据和机器智能对于未来社会的影响是全方位的。
黑客与画家,本书是硅谷创业之父PaulGraham的文集，主要介绍黑客即优秀程序员的爱好和动机，讨论黑客成长、黑客对世界的贡献以及编程语言和黑客工作方法等所有对计算机时代感兴趣的人的一些话题。书中的内容不但有助于了解计算机编程的本质、互联网行业的规则，还会帮助读者了解我们这个时代，迫使读者独立思考。本书适合所有程序员和互联网创业者，也适合一切对计算机行业感兴趣的读者。
创业维艰,本·霍洛维茨，硅谷顶级投资人，与网景之父马克·安德森联手合作18年，有着丰富的创业和管理经验。2009年创立风险投资公司A16Z，被外媒誉为“硅谷最牛的50个天使投资人”之一，先后在初期投资了Facebook、Twitter、Grouon、Skye，是诸多硅谷新贵的创业导师。在《创业维艰》中，本·霍洛维茨从自己的创业经历讲起，以自己在硅谷近20余年的创业、管理和投资经验，对创业公司（尤其是互联网技术公司）的创立、经营、人才选拔、企业文化、销售、CEO与董事会的关系等方方面面，毫无保留地奉上自己的经验之谈。他还谈到了与比尔·坎贝尔、安迪·拉切列夫、迈克尔·奥维茨等硅谷顶级CEO和投资人的交往经历，从他们身上学到的宝贵经验，以及他和马克·安德森这对绝佳拍档为何能够一起奋斗18年还能合作得这么好。大多数创业书所说的都是如何做正确的事，不把事情搞砸，而本·霍洛维茨还会告诉你：当事情已经搞砸时，你该怎么办。
必然,凯文·凯利对于经济和社会发展的趋势有着深刻的见解。20年前，他的《失控》一书，便已预见了当下几乎所有的互联网经济热点概念，如：物联网、云计算、虚拟现实、网络社区、大众智慧、迭代等。此次，凯文·凯利在新书《必然》中，提到了未来20年的12种必然趋势。
从0到1,图书简介：htt:v.youku.comv_showid_XOTA0NjcyMzE2.html?wm=3333_2001硅谷创投教父、PayPal创始人作品，斯坦福大学改变未来的一堂课，为世界创造价值的商业哲学。在科技剧烈改变世界的今天，想要成功，你必须在一切发生之前研究结局。你必须找到创新的独特方式，让未来不仅仅与众不同，而且更加美好。从0到1，为自己创造无限的机会与价值！Payal创始人、Facebook第一位外部投资者彼得•蒂尔在本书中详细阐述了自己的创业历程与心得，包括如何避免竞争、如何进行垄断、如何发现新的市场。《从0到1》还将带你穿越哲学、历史、经济等多元领域，解读世界运行的脉络，分享商业与未来发展的逻辑，帮助你思考从0到1的秘密，在意想不到之处发现价值与机会。揭开创新的秘密，进入彼得•蒂尔颠覆式的商业世界：创新不是从1到N，而是从0到1全球化并不全是进步竞争扼杀创新“产品会说话”是谎言失败者才去竞争，创业者应当选择垄断创业开局十分重要，“频繁试错”是错误的没有科技公司可以仅靠品牌吃饭初创公司要打造帮派文化
重新定义公司,谷歌高管手绘风漫画视频：htt:v.youku.comv_showid_XMTMxMzQ3NjMyMA==.html?from=y1.7-1.2Google掌门人第一本国内引进作品首次公开谷歌内部的管理与运营方法全面解密执掌谷歌10余年的内幕故事谷歌创始人拉里•佩奇作序推荐今日的谷歌是全球最具标志性的企业，在各个领域都有创新突破，并向技术的极限推进。《重新定义公司：谷歌是如何运营的》作者是谷歌执行董事长埃里克•施密特和前高级副总裁乔纳森•罗森伯格，他们亲自分享十余年来帮助谷歌成长所领悟到的管理启示：科技正在改变商业的方方面面，这种改变速度空前，而且仍在加速，公司若想在互联网时代站稳脚跟，就要制定新的商业规则。《重新定义公司》披露了谷歌如何颠覆传统的MBA模式，建立独树一帜的管理哲学，作者分享了外界普遍好奇的企业文化、战略、人才、决策、沟通以及创新之道。埃里克•施密特和乔纳森•罗森伯格列举了谷歌历史上众多只有内部人员才知道的实例，其中许多事件更是第一次为广大读者公布。他们旨在将谷歌的管理秘密转化为人人皆可用的经验，帮助我们迎接变化世界中的巨大挑战。1.Google掌门人埃里克•施密特第一本国内引进作品。《重新定义公司》是第一本官方公开认可的谷歌高层著作。本书也是国内第一次引进出版，谷歌前首席执行官首次公开谷歌从崛起到称霸10年的运营之道。2.21世纪唯一一本挑战工业时代德鲁克管理范式的巨作。公司要在快速变化的时代成功，就必须改掉过时的管理方式，吸引“创意精英”加入团队，并且创造让他们可以成长茁壮的环境。如何打造企业文化以吸引人才、如何创造合适的环境留住创意精英，以上问题是德鲁克范式下以科层制为特征、以管理为核心职能的公司影响自身存亡的关键问题，这些公司将在21世纪面临前所未有的挑战。《重新定义公司》正是为改变而写！首次公开Google独树一帜的管理哲学。谷歌掌门人亲自分析了公司内部实际运作的逻辑与思维，包括大家普遍好奇的人才策略、沟通模式、创新之道、如何进行破坏性颠覆，以及如何发展与维持独特的Google文化。3.苹果只可仰望，谷歌可以模仿。谷歌真正颠覆了公司的组织形态，全球的各大公司都在学习和模仿谷歌。《重新定义公司》的作者施密特指出，公司若想在互联网时代站稳脚跟，就得制定新的商业规则，并在本书中开诚布公地解答了谷歌引领互联网时代的管理秘籍。4.首次公开谷歌创新背后的精彩故事，以及只有内部高层才知道的决策大事件。《重新定义公司：谷歌是如何运营的》披露了谷歌商业化（AdWords）的离奇故事，以及如何自发创新的Gmail的诞生，近年面对Facebook竞争压力下，催生Google+的故事，还有如何造就出无人驾驶汽车、ProjectLoon等创新背后的故事。5.谷歌用自己重新定义了“谷歌”，用Alhabet重新定义了“公司”！21世纪是社群与平台经济的年代，消费者与供货商双向交流。单面向的公司管理模式不再管用，你需要的是“重新定义公司”。《重新定义公司：谷歌是如何运营的》献给所有在快速演变中运转的领导者与未来人才的你。不论是管理者、创业者，还是科技界、教育界人士，都能从《重新定义公司》中得到最有价值的智慧。《重新定义公司：谷歌是如何运营的》会呈现谷歌很重要的理念，我衷心希望你能汲取这些想法，做一些人们认为不可能做到的事。──谷歌联合创始人拉里•佩奇（LarryPage）获得合适的产品需要吸引并管理一批新的有技术悟性的员工，《重新定义公司：谷歌是如何运营的》是一本实用、易理解的指南，并教你如何做到这一点。——谷歌执行董事长埃里克•施密特谷歌执行董事长施密特新书《重新定义公司：谷歌是如何运营的》阐述了如何在互联网时代引领创新：1）人才第一：同时有技术+创意+商机嗅觉的人，2）放权给小而快的团队，3）战略基础要稳定，但策略计划必须不断调整，4）先成长后赚钱，5）了解但不模仿对手，6）基于技术趋势的大梦想，7）少写计划，多动手，8）重视数据。──创新工场董事长兼首席执行官李开复《重新定义公司：谷歌是如何运营的》对我很有启发。书的核心观点简单明了：未来企业的成功之道，是聚集一群聪明的创造人才，营造合适的氛围，充分发挥他们的创造力，快速感知客户的需求，愉快地创造相应的产品和服务。这意味着组织的逻辑必须发生变化，《重新定义公司》中丰富的例子和经验总结，常常让人掩卷思考。──阿里巴巴执行副总裁兼参谋长曾鸣施密特和罗森伯格合著的《重新定义公司：谷歌是如何运营的》不仅仅带给读者Google商业成功背后那些饶有趣味的史实，更有价值的是，在故事背后，他们无比诚恳和透明地向读者阐述了Google十五年积淀的企业文化、战略形成、人才理念、独特的共识决策模式和Google对创新的理解。这些激进的管理实践不仅对科技行业是必然，对其他行业来说，也只是时间早晚而已。即使在中国的TMT创业者，也会觉得他们描述的管理趋势是务实和入世的。——明道创始人任向晖谷歌如何为创意精英打造独特的企业文化？谷歌前首席执行官埃里克•施密特和前高级副总裁乔纳森•罗森伯格终于揭晓了谜底。──《财富》杂志（Fortune）《重新定义公司：谷歌是如何运营的》从商业角度出发，是一本涵盖丰富信息与多重创造力的谷歌指南。──科克斯书评（KirkusReviews）《重新定义公司：谷歌是如何运营的》是一本充满能量、令人兴奋的创业入门书，帮助个人迎向一个鼓舞人心的未来。──《出版人周刊》（Publisher&#39;sWeekly）
启示录,为什么市场上那么多软件产品无人问津，成功的产品凤毛麟角？怎样发掘有价值的产品？拿什么说服开发团队接受你的产品设计？如何将敏捷方法融入产品开发？过去二十多年，MartyCagan作为高级产品经理人为多家一流企业工作过，包括惠普、网景、美国在线、eBay。他亲历了个人电脑、互联网、电子商务的起落沉浮。《启示录：打造用户喜爱的产品》从人员、流程、产品三个角度介绍了现代软件（互联网）产品管理的实践经验和理念。七印部落正在翻译作者的博客和授课视频，欢迎访问微博：htt:weibo.com7seals-“Marty无疑是eBay最出色的产品经理，他对eBay的影响至今仍在。”—Frerk-MalteFellereBay德国区常务董事-“Marty是产品管理的行家里手。这本书如醍醐灌顶，让我茅塞顿开。”—JudyGibbonsAccelPartnets公司风险投资人-“Marty在工作上自有一套，他总能打造出一流的产品。”—PeteDeemerYahoo！前任首席产品经理、GoodAgile公司CEO-“读完这本书，我不得不重新审视产品管理的原则和方法。”—JimDenneyTiVo产品副总裁-“产品没有价值，开发团队再优秀也无济于事。要论挑选产品，Marty可谓慧眼独具！”—MartyAbbotteBay前任CTO、AKFConsulting公司合伙人-“想在软件行业创业，你绕不开这本书！”—ChuckGeigerPayPal、Travelocity、Ask.com前任CTO
运营之光,在互联网行业内，“运营”这个职能发展到一定阶段后，往往更需要有成熟的知识体系和工作方法来给予行业从业者们以指引。《运营之光：我的互联网运营方法论与自白》尤其难得之处在于：它既对“什么是运营”这样的概念认知类问题进行了解读，又带有大量实际的工作技巧、工作思维和工作方法，还包含了很多对于运营的思考、宏观分析和建议，可谓内容完整而全面，同时书中加入了作者亲历的大量真实案例，让全书读起来深入浅出、耐人寻味。从内容的受众来说，它既有面向初入互联网行业的运营从业者们的具体工作方法讲解和建议，又有适合3～5年运营从业者们阅读的一些案例解析、思考方法分享，也有更适合创业者、互联网公司高管阅读的一些运营体系搭建、不同类型产品所适合的运营方法等更为宏观的问题的解读。我们希望它可以成为面向互联网运营从业者和创业者们的一本经典读物。
